constructorStandingsId,raceId,constructorId,points,position,wins,date
11072,897,5,18.0,3,0,2014-03-16 06:00:00
11073,897,129,25.0,2,1,2014-03-16 06:00:00
11074,897,0,33.0,1,0,2014-03-16 06:00:00
11075,897,2,10.0,4,0,2014-03-16 06:00:00
11076,897,14,0.0,7,0,2014-03-16 06:00:00
11077,897,4,6.0,6,0,2014-03-16 06:00:00
11078,897,205,0.0,9,0,2014-03-16 06:00:00
11079,897,203,0.0,8,0,2014-03-16 06:00:00
11080,897,204,0.0,10,0,2014-03-16 06:00:00
11081,897,8,0.0,11,0,2014-03-16 06:00:00
11082,897,9,9.0,5,0,2014-03-16 06:00:00
11083,898,129,68.0,1,2,2014-03-30 08:00:00
11084,898,0,43.0,2,0,2014-03-30 08:00:00
11085,898,8,15.0,6,0,2014-03-30 08:00:00
11086,898,204,0.0,10,0,2014-03-30 08:00:00
11087,898,205,0.0,9,0,2014-03-30 08:00:00
11088,898,203,0.0,11,0,2014-03-30 08:00:00
11089,898,14,0.0,8,0,2014-03-30 08:00:00
11090,898,4,7.0,7,0,2014-03-30 08:00:00
11091,898,9,19.0,5,0,2014-03-30 08:00:00
11092,898,2,20.0,4,0,2014-03-30 08:00:00
11093,898,5,30.0,3,0,2014-03-30 08:00:00
11094,899,8,35.0,4,0,2014-04-06 15:00:00
11095,899,204,0.0,11,0,2014-04-06 15:00:00
11096,899,205,0.0,8,0,2014-04-06 15:00:00
11097,899,2,30.0,6,0,2014-04-06 15:00:00
11098,899,14,0.0,9,0,2014-04-06 15:00:00
11099,899,4,7.0,7,0,2014-04-06 15:00:00
11100,899,9,44.0,2,0,2014-04-06 15:00:00
11101,899,5,33.0,5,0,2014-04-06 15:00:00
11102,899,0,43.0,3,0,2014-04-06 15:00:00
11103,899,129,111.0,1,3,2014-04-06 15:00:00
11104,899,203,0.0,10,0,2014-04-06 15:00:00
11105,900,204,0.0,11,0,2014-04-20 07:00:00
11106,900,8,57.0,2,0,2014-04-20 07:00:00
11107,900,205,0.0,8,0,2014-04-20 07:00:00
11108,900,2,36.0,6,0,2014-04-20 07:00:00
11109,900,14,0.0,9,0,2014-04-20 07:00:00
11110,900,4,8.0,7,0,2014-04-20 07:00:00
11111,900,129,154.0,1,4,2014-04-20 07:00:00
11112,900,0,43.0,5,0,2014-04-20 07:00:00
11113,900,5,52.0,4,0,2014-04-20 07:00:00
11114,900,9,54.0,3,0,2014-04-20 07:00:00
11115,900,203,0.0,10,0,2014-04-20 07:00:00
11116,901,8,84.0,2,0,2014-05-11 12:00:00
11117,901,204,0.0,11,0,2014-05-11 12:00:00
11118,901,205,4.0,8,0,2014-05-11 12:00:00
11119,901,14,0.0,9,0,2014-05-11 12:00:00
11120,901,4,8.0,7,0,2014-05-11 12:00:00
11121,901,9,57.0,4,0,2014-05-11 12:00:00
11122,901,2,46.0,5,0,2014-05-11 12:00:00
11123,901,5,66.0,3,0,2014-05-11 12:00:00
11124,901,0,43.0,6,0,2014-05-11 12:00:00
11125,901,129,197.0,1,5,2014-05-11 12:00:00
11126,901,203,0.0,10,0,2014-05-11 12:00:00
11127,902,204,0.0,11,0,2014-05-25 12:00:00
11128,902,8,99.0,2,0,2014-05-25 12:00:00
11129,902,205,8.0,7,0,2014-05-25 12:00:00
11130,902,2,52.0,6,0,2014-05-25 12:00:00
11131,902,14,0.0,10,0,2014-05-25 12:00:00
11132,902,9,67.0,4,0,2014-05-25 12:00:00
11133,902,5,78.0,3,0,2014-05-25 12:00:00
11134,902,0,52.0,5,0,2014-05-25 12:00:00
11135,902,129,240.0,1,6,2014-05-25 12:00:00
11136,902,203,2.0,9,0,2014-05-25 12:00:00
11137,902,4,8.0,8,0,2014-05-25 12:00:00
11138,903,9,77.0,4,0,2014-06-08 18:00:00
11139,903,4,12.0,7,0,2014-06-08 18:00:00
11140,903,14,0.0,10,0,2014-06-08 18:00:00
11141,903,205,8.0,8,0,2014-06-08 18:00:00
11142,903,204,0.0,11,0,2014-06-08 18:00:00
11143,903,8,139.0,2,1,2014-06-08 18:00:00
11144,903,5,87.0,3,0,2014-06-08 18:00:00
11145,903,0,66.0,5,0,2014-06-08 18:00:00
11146,903,129,258.0,1,6,2014-06-08 18:00:00
11147,903,2,58.0,6,0,2014-06-08 18:00:00
11148,903,203,2.0,9,0,2014-06-08 18:00:00
11149,904,204,0.0,11,0,2014-06-22 12:00:00
11150,904,8,143.0,2,1,2014-06-22 12:00:00
11151,904,205,8.0,8,0,2014-06-22 12:00:00
11152,904,14,0.0,10,0,2014-06-22 12:00:00
11153,904,4,12.0,7,0,2014-06-22 12:00:00
11154,904,9,87.0,4,0,2014-06-22 12:00:00
11155,904,129,301.0,1,7,2014-06-22 12:00:00
11156,904,0,72.0,6,0,2014-06-22 12:00:00
11157,904,5,98.0,3,0,2014-06-22 12:00:00
11158,904,2,85.0,5,0,2014-06-22 12:00:00
11159,904,203,2.0,9,0,2014-06-22 12:00:00
11160,905,8,168.0,2,1,2014-07-06 12:00:00
11161,905,204,0.0,11,0,2014-07-06 12:00:00
11162,905,205,8.0,8,0,2014-07-06 12:00:00
11163,905,203,2.0,9,0,2014-07-06 12:00:00
11164,905,4,15.0,7,0,2014-07-06 12:00:00
11165,905,9,91.0,5,0,2014-07-06 12:00:00
11166,905,2,103.0,4,0,2014-07-06 12:00:00
11167,905,5,106.0,3,0,2014-07-06 12:00:00
11168,905,0,90.0,6,0,2014-07-06 12:00:00
11169,905,129,326.0,1,8,2014-07-06 12:00:00
11170,905,14,0.0,10,0,2014-07-06 12:00:00
11171,906,204,0.0,11,0,2014-07-20 12:00:00
11172,906,8,188.0,2,1,2014-07-20 12:00:00
11173,906,205,8.0,8,0,2014-07-20 12:00:00
11174,906,2,121.0,3,0,2014-07-20 12:00:00
11175,906,14,0.0,10,0,2014-07-20 12:00:00
11176,906,9,98.0,5,0,2014-07-20 12:00:00
11177,906,5,116.0,4,0,2014-07-20 12:00:00
11178,906,0,96.0,6,0,2014-07-20 12:00:00
11179,906,129,366.0,1,9,2014-07-20 12:00:00
11180,906,203,2.0,9,0,2014-07-20 12:00:00
11181,906,4,15.0,7,0,2014-07-20 12:00:00
11182,907,9,98.0,5,0,2014-07-27 12:00:00
11183,907,4,17.0,7,0,2014-07-27 12:00:00
11184,907,14,0.0,10,0,2014-07-27 12:00:00
11185,907,203,2.0,9,0,2014-07-27 12:00:00
11186,907,205,8.0,8,0,2014-07-27 12:00:00
11187,907,204,0.0,11,0,2014-07-27 12:00:00
11188,907,8,219.0,2,2,2014-07-27 12:00:00
11189,907,129,393.0,1,9,2014-07-27 12:00:00
11190,907,0,97.0,6,0,2014-07-27 12:00:00
11191,907,5,142.0,3,0,2014-07-27 12:00:00
11192,907,2,135.0,4,0,2014-07-27 12:00:00
11193,908,204,0.0,11,0,2014-08-24 12:00:00
11194,908,205,8.0,8,0,2014-08-24 12:00:00
11195,908,8,254.0,2,3,2014-08-24 12:00:00
11196,908,14,0.0,10,0,2014-08-24 12:00:00
11197,908,129,411.0,1,9,2014-08-24 12:00:00
11198,908,0,105.0,5,0,2014-08-24 12:00:00
11199,908,5,160.0,3,0,2014-08-24 12:00:00
11200,908,2,150.0,4,0,2014-08-24 12:00:00
11201,908,203,2.0,9,0,2014-08-24 12:00:00
11202,908,9,103.0,6,0,2014-08-24 12:00:00
11203,908,4,19.0,7,0,2014-08-24 12:00:00
11204,909,2,177.0,3,0,2014-09-07 12:00:00
11205,909,9,109.0,6,0,2014-09-07 12:00:00
11206,909,4,19.0,7,0,2014-09-07 12:00:00
11207,909,14,0.0,10,0,2014-09-07 12:00:00
11208,909,205,8.0,8,0,2014-09-07 12:00:00
11209,909,204,0.0,11,0,2014-09-07 12:00:00
11210,909,8,272.0,2,3,2014-09-07 12:00:00
11211,909,0,110.0,5,0,2014-09-07 12:00:00
11212,909,129,454.0,1,10,2014-09-07 12:00:00
11213,909,5,162.0,4,0,2014-09-07 12:00:00
11214,909,203,2.0,9,0,2014-09-07 12:00:00
11215,910,204,0.0,11,0,2014-09-21 12:00:00
11216,910,8,305.0,2,3,2014-09-21 12:00:00
11217,910,205,8.0,8,0,2014-09-21 12:00:00
11218,910,14,0.0,10,0,2014-09-21 12:00:00
11219,910,2,187.0,3,0,2014-09-21 12:00:00
11220,910,5,178.0,4,0,2014-09-21 12:00:00
11221,910,0,111.0,6,0,2014-09-21 12:00:00
11222,910,129,479.0,1,11,2014-09-21 12:00:00
11223,910,203,2.0,9,0,2014-09-21 12:00:00
11224,910,9,117.0,5,0,2014-09-21 12:00:00
11225,910,4,27.0,7,0,2014-09-21 12:00:00
11226,911,2,201.0,3,0,2014-10-05 06:00:00
11227,911,9,122.0,5,0,2014-10-05 06:00:00
11228,911,4,29.0,7,0,2014-10-05 06:00:00
11229,911,14,0.0,10,0,2014-10-05 06:00:00
11230,911,205,8.0,8,0,2014-10-05 06:00:00
11231,911,204,0.0,11,0,2014-10-05 06:00:00
11232,911,8,332.0,2,3,2014-10-05 06:00:00
11233,911,0,121.0,6,0,2014-10-05 06:00:00
11234,911,129,522.0,1,12,2014-10-05 06:00:00
11235,911,5,178.0,4,0,2014-10-05 06:00:00
11236,911,203,2.0,9,0,2014-10-05 06:00:00
11237,912,205,8.0,8,0,2014-10-12 11:00:00
11238,912,8,342.0,2,3,2014-10-12 11:00:00
11239,912,204,0.0,11,0,2014-10-12 11:00:00
11240,912,203,2.0,9,0,2014-10-12 11:00:00
11241,912,4,29.0,7,0,2014-10-12 11:00:00
11242,912,9,123.0,6,0,2014-10-12 11:00:00
11243,912,129,565.0,1,13,2014-10-12 11:00:00
11244,912,0,143.0,5,0,2014-10-12 11:00:00
11245,912,5,188.0,4,0,2014-10-12 11:00:00
11246,912,2,216.0,3,0,2014-10-12 11:00:00
11247,912,14,0.0,10,0,2014-10-12 11:00:00
11248,913,8,363.0,2,3,2014-11-02 20:00:00
11249,913,204,0.0,11,0,2014-11-02 20:00:00
11250,913,205,10.0,8,0,2014-11-02 20:00:00
11251,913,14,0.0,10,0,2014-11-02 20:00:00
11252,913,4,30.0,7,0,2014-11-02 20:00:00
11253,913,9,123.0,6,0,2014-11-02 20:00:00
11254,913,2,238.0,3,0,2014-11-02 20:00:00
11255,913,5,196.0,4,0,2014-11-02 20:00:00
11256,913,0,147.0,5,0,2014-11-02 20:00:00
11257,913,129,608.0,1,14,2014-11-02 20:00:00
11258,913,203,2.0,9,0,2014-11-02 20:00:00
11259,914,204,0.0,11,0,2014-11-09 16:00:00
11260,914,8,373.0,2,3,2014-11-09 16:00:00
11261,914,205,10.0,8,0,2014-11-09 16:00:00
11262,914,129,651.0,1,15,2014-11-09 16:00:00
11263,914,14,0.0,10,0,2014-11-09 16:00:00
11264,914,4,30.0,7,0,2014-11-09 16:00:00
11265,914,0,161.0,5,0,2014-11-09 16:00:00
11266,914,203,2.0,9,0,2014-11-09 16:00:00
11267,914,5,210.0,4,0,2014-11-09 16:00:00
11268,914,2,254.0,3,0,2014-11-09 16:00:00
11269,914,9,127.0,6,0,2014-11-09 16:00:00
11270,915,8,405.0,2,3,2014-11-23 13:00:00
11271,915,204,0.0,11,0,2014-11-23 13:00:00
11272,915,205,10.0,8,0,2014-11-23 13:00:00
11273,915,203,2.0,9,0,2014-11-23 13:00:00
11274,915,14,0.0,10,0,2014-11-23 13:00:00
11275,915,4,30.0,7,0,2014-11-23 13:00:00
11276,915,9,155.0,6,0,2014-11-23 13:00:00
11277,915,2,320.0,3,0,2014-11-23 13:00:00
11278,915,5,216.0,4,0,2014-11-23 13:00:00
11279,915,0,181.0,5,0,2014-11-23 13:00:00
11280,915,129,701.0,1,16,2014-11-23 13:00:00
11281,916,205,0.0,9,0,2015-03-15 05:00:00
11282,916,0,0.0,8,0,2015-03-15 05:00:00
11283,916,129,43.0,1,1,2015-03-15 05:00:00
11284,916,9,7.0,6,0,2015-03-15 05:00:00
11285,916,8,8.0,5,0,2015-03-15 05:00:00
11286,916,14,14.0,3,0,2015-03-15 05:00:00
11287,916,2,12.0,4,0,2015-03-15 05:00:00
11288,916,5,15.0,2,0,2015-03-15 05:00:00
11289,916,4,2.0,7,0,2015-03-15 05:00:00
11290,917,205,0.0,8,0,2015-03-29 07:00:00
11291,917,206,0.0,10,0,2015-03-29 07:00:00
11292,917,0,0.0,9,0,2015-03-29 07:00:00
11293,917,5,52.0,2,1,2015-03-29 07:00:00
11294,917,9,7.0,7,0,2015-03-29 07:00:00
11295,917,8,11.0,6,0,2015-03-29 07:00:00
11296,917,129,76.0,1,1,2015-03-29 07:00:00
11297,917,2,30.0,3,0,2015-03-29 07:00:00
11298,917,14,14.0,4,0,2015-03-29 07:00:00
11299,917,4,12.0,5,0,2015-03-29 07:00:00
11300,918,206,0.0,10,0,2015-04-12 06:00:00
11301,918,205,6.0,8,0,2015-04-12 06:00:00
11302,918,0,0.0,9,0,2015-04-12 06:00:00
11303,918,9,7.0,7,0,2015-04-12 06:00:00
11304,918,8,13.0,5,0,2015-04-12 06:00:00
11305,918,14,19.0,4,0,2015-04-12 06:00:00
11306,918,2,48.0,3,0,2015-04-12 06:00:00
11307,918,5,79.0,2,1,2015-04-12 06:00:00
11308,918,129,119.0,1,2,2015-04-12 06:00:00
11309,918,4,12.0,6,0,2015-04-12 06:00:00
11310,919,205,12.0,6,0,2015-04-19 15:00:00
11311,919,206,0.0,10,0,2015-04-19 15:00:00
11312,919,0,0.0,9,0,2015-04-19 15:00:00
11313,919,5,107.0,2,1,2015-04-19 15:00:00
11314,919,9,11.0,8,0,2015-04-19 15:00:00
11315,919,14,19.0,5,0,2015-04-19 15:00:00
11316,919,2,61.0,3,0,2015-04-19 15:00:00
11317,919,129,159.0,1,3,2015-04-19 15:00:00
11318,919,4,12.0,7,0,2015-04-19 15:00:00
11319,919,8,23.0,4,0,2015-04-19 15:00:00
11320,920,14,19.0,5,0,2015-05-10 12:00:00
11321,920,8,30.0,4,0,2015-05-10 12:00:00
11322,920,9,11.0,8,0,2015-05-10 12:00:00
11323,920,0,0.0,9,0,2015-05-10 12:00:00
11324,920,205,16.0,6,0,2015-05-10 12:00:00
11325,920,206,0.0,10,0,2015-05-10 12:00:00
11326,920,5,132.0,2,1,2015-05-10 12:00:00
11327,920,129,202.0,1,4,2015-05-10 12:00:00
11328,920,2,81.0,3,0,2015-05-10 12:00:00
11329,920,4,14.0,7,0,2015-05-10 12:00:00
11330,921,205,16.0,7,0,2015-05-24 12:00:00
11331,921,206,0.0,10,0,2015-05-24 12:00:00
11332,921,0,4.0,9,0,2015-05-24 12:00:00
11333,921,9,17.0,6,0,2015-05-24 12:00:00
11334,921,8,52.0,4,0,2015-05-24 12:00:00
11335,921,14,21.0,5,0,2015-05-24 12:00:00
11336,921,129,242.0,1,5,2015-05-24 12:00:00
11337,921,5,158.0,2,1,2015-05-24 12:00:00
11338,921,2,81.0,3,0,2015-05-24 12:00:00
11339,921,4,15.0,8,0,2015-05-24 12:00:00
11340,922,206,0.0,10,0,2015-06-07 18:00:00
11341,922,205,23.0,5,0,2015-06-07 18:00:00
11342,922,0,4.0,9,0,2015-06-07 18:00:00
11343,922,4,15.0,8,0,2015-06-07 18:00:00
11344,922,8,54.0,4,0,2015-06-07 18:00:00
11345,922,14,21.0,6,0,2015-06-07 18:00:00
11346,922,2,104.0,3,0,2015-06-07 18:00:00
11347,922,5,180.0,2,1,2015-06-07 18:00:00
11348,922,129,285.0,1,6,2015-06-07 18:00:00
11349,922,9,21.0,7,0,2015-06-07 18:00:00
11350,923,205,29.0,6,0,2015-06-21 12:00:00
11351,923,206,0.0,10,0,2015-06-21 12:00:00
11352,923,0,4.0,9,0,2015-06-21 12:00:00
11353,923,5,192.0,2,1,2015-06-21 12:00:00
11354,923,9,31.0,5,0,2015-06-21 12:00:00
11355,923,14,21.0,7,0,2015-06-21 12:00:00
11356,923,2,129.0,3,0,2015-06-21 12:00:00
11357,923,129,328.0,1,7,2015-06-21 12:00:00
11358,923,4,19.0,8,0,2015-06-21 12:00:00
11359,923,8,55.0,4,0,2015-06-21 12:00:00
11360,924,14,21.0,7,0,2015-07-05 12:00:00
11361,924,8,63.0,4,0,2015-07-05 12:00:00
11362,924,9,39.0,5,0,2015-07-05 12:00:00
11363,924,4,19.0,8,0,2015-07-05 12:00:00
11364,924,0,5.0,9,0,2015-07-05 12:00:00
11365,924,205,29.0,6,0,2015-07-05 12:00:00
11366,924,206,0.0,10,0,2015-07-05 12:00:00
11367,924,129,371.0,1,8,2015-07-05 12:00:00
11368,924,5,211.0,2,1,2015-07-05 12:00:00
11369,924,2,151.0,3,0,2015-07-05 12:00:00
11370,925,205,35.0,6,0,2015-07-26 12:00:00
11371,925,0,17.0,9,0,2015-07-26 12:00:00
11372,925,206,0.0,10,0,2015-07-26 12:00:00
11373,925,9,39.0,5,0,2015-07-26 12:00:00
11374,925,129,383.0,1,8,2015-07-26 12:00:00
11375,925,5,236.0,2,2,2015-07-26 12:00:00
11376,925,4,31.0,7,0,2015-07-26 12:00:00
11377,925,14,22.0,8,0,2015-07-26 12:00:00
11378,925,8,96.0,4,0,2015-07-26 12:00:00
11379,925,2,151.0,3,0,2015-07-26 12:00:00
11380,926,206,0.0,10,0,2015-08-23 12:00:00
11381,926,0,17.0,9,0,2015-08-23 12:00:00
11382,926,4,35.0,7,0,2015-08-23 12:00:00
11383,926,14,23.0,8,0,2015-08-23 12:00:00
11384,926,205,50.0,5,0,2015-08-23 12:00:00
11385,926,9,49.0,6,0,2015-08-23 12:00:00
11386,926,8,108.0,4,0,2015-08-23 12:00:00
11387,926,5,242.0,2,2,2015-08-23 12:00:00
11388,926,129,426.0,1,9,2015-08-23 12:00:00
11389,926,2,161.0,3,0,2015-08-23 12:00:00
11390,927,205,50.0,6,0,2015-09-06 12:00:00
11391,927,206,0.0,10,0,2015-09-06 12:00:00
11392,927,0,17.0,9,0,2015-09-06 12:00:00
11393,927,9,63.0,5,0,2015-09-06 12:00:00
11394,927,2,188.0,3,0,2015-09-06 12:00:00
11395,927,5,270.0,2,2,2015-09-06 12:00:00
11396,927,129,451.0,1,10,2015-09-06 12:00:00
11397,927,4,35.0,7,0,2015-09-06 12:00:00
11398,927,14,25.0,8,0,2015-09-06 12:00:00
11399,927,8,113.0,4,0,2015-09-06 12:00:00
11400,928,2,198.0,3,0,2015-09-20 12:00:00
11401,928,14,26.0,8,0,2015-09-20 12:00:00
11402,928,8,139.0,4,0,2015-09-20 12:00:00
11403,928,9,69.0,5,0,2015-09-20 12:00:00
11404,928,0,17.0,9,0,2015-09-20 12:00:00
11405,928,205,50.0,6,0,2015-09-20 12:00:00
11406,928,206,0.0,10,0,2015-09-20 12:00:00
11407,928,129,463.0,1,10,2015-09-20 12:00:00
11408,928,5,310.0,2,3,2015-09-20 12:00:00
11409,928,4,41.0,7,0,2015-09-20 12:00:00
11410,929,5,337.0,2,3,2015-09-27 05:00:00
11411,929,129,506.0,1,11,2015-09-27 05:00:00
11412,929,14,26.0,8,0,2015-09-27 05:00:00
11413,929,9,77.0,5,0,2015-09-27 05:00:00
11414,929,205,60.0,6,0,2015-09-27 05:00:00
11415,929,206,0.0,10,0,2015-09-27 05:00:00
11416,929,0,17.0,9,0,2015-09-27 05:00:00
11417,929,8,139.0,4,0,2015-09-27 05:00:00
11418,929,2,208.0,3,0,2015-09-27 05:00:00
11419,929,4,44.0,7,0,2015-09-27 05:00:00
11420,930,129,531.0,1,12,2015-10-11 11:00:00
11421,930,5,359.0,2,3,2015-10-11 11:00:00
11422,930,2,220.0,3,0,2015-10-11 11:00:00
11423,930,8,149.0,4,0,2015-10-11 11:00:00
11424,930,9,92.0,5,0,2015-10-11 11:00:00
11425,930,4,45.0,7,0,2015-10-11 11:00:00
11426,930,0,19.0,9,0,2015-10-11 11:00:00
11427,930,205,66.0,6,0,2015-10-11 11:00:00
11428,930,206,0.0,10,0,2015-10-11 11:00:00
11429,930,14,34.0,8,0,2015-10-11 11:00:00
11430,931,5,374.0,2,3,2015-10-25 19:00:00
11431,931,129,574.0,1,13,2015-10-25 19:00:00
11432,931,8,150.0,4,0,2015-10-25 19:00:00
11433,931,14,36.0,8,0,2015-10-25 19:00:00
11434,931,4,63.0,7,0,2015-10-25 19:00:00
11435,931,9,102.0,5,0,2015-10-25 19:00:00
11436,931,205,70.0,6,0,2015-10-25 19:00:00
11437,931,206,0.0,10,0,2015-10-25 19:00:00
11438,931,2,220.0,3,0,2015-10-25 19:00:00
11439,931,0,27.0,9,0,2015-10-25 19:00:00
11440,932,206,0.0,10,0,2015-11-01 19:00:00
11441,932,0,27.0,9,0,2015-11-01 19:00:00
11442,932,4,65.0,7,0,2015-11-01 19:00:00
11443,932,2,243.0,3,0,2015-11-01 19:00:00
11444,932,8,172.0,4,0,2015-11-01 19:00:00
11445,932,5,374.0,2,3,2015-11-01 19:00:00
11446,932,129,617.0,1,14,2015-11-01 19:00:00
11447,932,205,71.0,6,0,2015-11-01 19:00:00
11448,932,9,112.0,5,0,2015-11-01 19:00:00
11449,932,14,36.0,8,0,2015-11-01 19:00:00
11450,933,129,660.0,1,15,2015-11-15 16:00:00
11451,933,5,401.0,2,3,2015-11-15 16:00:00
11452,933,8,178.0,4,0,2015-11-15 16:00:00
11453,933,0,27.0,9,0,2015-11-15 16:00:00
11454,933,4,67.0,7,0,2015-11-15 16:00:00
11455,933,206,0.0,10,0,2015-11-15 16:00:00
11456,933,14,36.0,8,0,2015-11-15 16:00:00
11457,933,9,120.0,5,0,2015-11-15 16:00:00
11458,933,205,76.0,6,0,2015-11-15 16:00:00
11459,933,2,253.0,3,0,2015-11-15 16:00:00
11460,934,5,428.0,2,3,2015-11-29 13:00:00
11461,934,129,703.0,1,16,2015-11-29 13:00:00
11462,934,8,187.0,4,0,2015-11-29 13:00:00
11463,934,205,78.0,6,0,2015-11-29 13:00:00
11464,934,4,67.0,7,0,2015-11-29 13:00:00
11465,934,0,27.0,9,0,2015-11-29 13:00:00
11466,934,206,0.0,10,0,2015-11-29 13:00:00
11467,934,14,36.0,8,0,2015-11-29 13:00:00
11468,934,9,136.0,5,0,2015-11-29 13:00:00
11469,934,2,257.0,3,0,2015-11-29 13:00:00
11470,935,2,14.0,3,0,2016-03-20 05:00:00
