raceId,year,round,circuitId,name,date,time
897,2014,1,0,Australian Grand Prix,2014-03-16 06:00:00,06:00:00
898,2014,2,1,Malaysian Grand Prix,2014-03-30 08:00:00,08:00:00
899,2014,3,2,Bahrain Grand Prix,2014-04-06 15:00:00,15:00:00
900,2014,4,16,Chinese Grand Prix,2014-04-20 07:00:00,07:00:00
901,2014,5,3,Spanish Grand Prix,2014-05-11 12:00:00,12:00:00
902,2014,6,5,Monaco Grand Prix,2014-05-25 12:00:00,12:00:00
903,2014,7,6,Canadian Grand Prix,2014-06-08 18:00:00,18:00:00
904,2014,8,69,Austrian Grand Prix,2014-06-22 12:00:00,12:00:00
905,2014,9,8,British Grand Prix,2014-07-06 12:00:00,12:00:00
906,2014,10,9,German Grand Prix,2014-07-20 12:00:00,12:00:00
907,2014,11,10,Hungarian Grand Prix,2014-07-27 12:00:00,12:00:00
908,2014,12,12,Belgian Grand Prix,2014-08-24 12:00:00,12:00:00
909,2014,13,13,Italian Grand Prix,2014-09-07 12:00:00,12:00:00
910,2014,14,14,Singapore Grand Prix,2014-09-21 12:00:00,12:00:00
911,2014,15,21,Japanese Grand Prix,2014-10-05 06:00:00,06:00:00
912,2014,16,70,Russian Grand Prix,2014-10-12 11:00:00,11:00:00
913,2014,17,68,United States Grand Prix,2014-11-02 20:00:00,20:00:00
914,2014,18,17,Brazilian Grand Prix,2014-11-09 16:00:00,16:00:00
915,2014,19,23,Abu Dhabi Grand Prix,2014-11-23 13:00:00,13:00:00
916,2015,1,0,Australian Grand Prix,2015-03-15 05:00:00,05:00:00
917,2015,2,1,Malaysian Grand Prix,2015-03-29 07:00:00,07:00:00
918,2015,3,16,Chinese Grand Prix,2015-04-12 06:00:00,06:00:00
919,2015,4,2,Bahrain Grand Prix,2015-04-19 15:00:00,15:00:00
920,2015,5,3,Spanish Grand Prix,2015-05-10 12:00:00,12:00:00
921,2015,6,5,Monaco Grand Prix,2015-05-24 12:00:00,12:00:00
922,2015,7,6,Canadian Grand Prix,2015-06-07 18:00:00,18:00:00
923,2015,8,69,Austrian Grand Prix,2015-06-21 12:00:00,12:00:00
924,2015,9,8,British Grand Prix,2015-07-05 12:00:00,12:00:00
925,2015,10,10,Hungarian Grand Prix,2015-07-26 12:00:00,12:00:00
926,2015,11,12,Belgian Grand Prix,2015-08-23 12:00:00,12:00:00
927,2015,12,13,Italian Grand Prix,2015-09-06 12:00:00,12:00:00
928,2015,13,14,Singapore Grand Prix,2015-09-20 12:00:00,12:00:00
929,2015,14,21,Japanese Grand Prix,2015-09-27 05:00:00,05:00:00
930,2015,15,70,Russian Grand Prix,2015-10-11 11:00:00,11:00:00
931,2015,16,68,United States Grand Prix,2015-10-25 19:00:00,19:00:00
932,2015,17,31,Mexican Grand Prix,2015-11-01 19:00:00,19:00:00
933,2015,18,17,Brazilian Grand Prix,2015-11-15 16:00:00,16:00:00
934,2015,19,23,Abu Dhabi Grand Prix,2015-11-29 13:00:00,13:00:00
935,2016,1,0,Australian Grand Prix,2016-03-20 05:00:00,05:00:00
936,2016,2,2,Bahrain Grand Prix,2016-04-03 15:00:00,15:00:00
937,2016,3,16,Chinese Grand Prix,2016-04-17 06:00:00,06:00:00
938,2016,4,70,Russian Grand Prix,2016-05-01 12:00:00,12:00:00
939,2016,5,3,Spanish Grand Prix,2016-05-15 12:00:00,12:00:00
940,2016,6,5,Monaco Grand Prix,2016-05-29 12:00:00,12:00:00
941,2016,7,6,Canadian Grand Prix,2016-06-12 18:00:00,18:00:00
942,2016,8,71,European Grand Prix,2016-06-19 13:00:00,13:00:00
943,2016,9,69,Austrian Grand Prix,2016-07-03 12:00:00,12:00:00
944,2016,10,8,British Grand Prix,2016-07-10 12:00:00,12:00:00
945,2016,11,10,Hungarian Grand Prix,2016-07-24 12:00:00,12:00:00
946,2016,12,9,German Grand Prix,2016-07-31 12:00:00,12:00:00
947,2016,13,12,Belgian Grand Prix,2016-08-28 12:00:00,12:00:00
948,2016,14,13,Italian Grand Prix,2016-09-04 12:00:00,12:00:00
949,2016,15,14,Singapore Grand Prix,2016-09-18 12:00:00,12:00:00
950,2016,16,1,Malaysian Grand Prix,2016-10-02 07:00:00,07:00:00
951,2016,17,21,Japanese Grand Prix,2016-10-09 05:00:00,05:00:00
952,2016,18,68,United States Grand Prix,2016-10-23 19:00:00,19:00:00
953,2016,19,31,Mexican Grand Prix,2016-10-30 19:00:00,19:00:00
954,2016,20,17,Brazilian Grand Prix,2016-11-13 16:00:00,16:00:00
955,2016,21,23,Abu Dhabi Grand Prix,2016-11-27 13:00:00,13:00:00
956,2017,1,0,Australian Grand Prix,2017-03-26 05:00:00,05:00:00
957,2017,2,16,Chinese Grand Prix,2017-04-09 06:00:00,06:00:00
958,2017,3,2,Bahrain Grand Prix,2017-04-16 15:00:00,15:00:00
959,2017,4,70,Russian Grand Prix,2017-04-30 12:00:00,12:00:00
960,2017,5,3,Spanish Grand Prix,2017-05-14 12:00:00,12:00:00
961,2017,6,5,Monaco Grand Prix,2017-05-28 12:00:00,12:00:00
962,2017,7,6,Canadian Grand Prix,2017-06-11 18:00:00,18:00:00
963,2017,8,71,Azerbaijan Grand Prix,2017-06-25 13:00:00,13:00:00
964,2017,9,69,Austrian Grand Prix,2017-07-09 12:00:00,12:00:00
965,2017,10,8,British Grand Prix,2017-07-16 12:00:00,12:00:00
966,2017,11,10,Hungarian Grand Prix,2017-07-30 12:00:00,12:00:00
967,2017,12,12,Belgian Grand Prix,2017-08-27 12:00:00,12:00:00
968,2017,13,13,Italian Grand Prix,2017-09-03 12:00:00,12:00:00
969,2017,14,14,Singapore Grand Prix,2017-09-17 12:00:00,12:00:00
970,2017,15,1,Malaysian Grand Prix,2017-10-01 07:00:00,07:00:00
971,2017,16,21,Japanese Grand Prix,2017-10-08 05:00:00,05:00:00
972,2017,17,68,United States Grand Prix,2017-10-22 19:00:00,19:00:00
973,2017,18,31,Mexican Grand Prix,2017-10-29 19:00:00,19:00:00
974,2017,19,17,Brazilian Grand Prix,2017-11-12 16:00:00,16:00:00
975,2017,20,23,Abu Dhabi Grand Prix,2017-11-26 13:00:00,13:00:00
976,2018,1,0,Australian Grand Prix,2018-03-25 05:10:00,05:10:00
977,2018,2,2,Bahrain Grand Prix,2018-04-08 15:10:00,15:10:00
978,2018,3,16,Chinese Grand Prix,2018-04-15 06:10:00,06:10:00
979,2018,4,71,Azerbaijan Grand Prix,2018-04-29 12:10:00,12:10:00
980,2018,5,3,Spanish Grand Prix,2018-05-13 13:10:00,13:10:00
981,2018,6,5,Monaco Grand Prix,2018-05-27 13:10:00,13:10:00
982,2018,7,6,Canadian Grand Prix,2018-06-10 18:10:00,18:10:00
983,2018,8,33,French Grand Prix,2018-06-24 14:10:00,14:10:00
984,2018,9,69,Austrian Grand Prix,2018-07-01 13:10:00,13:10:00
985,2018,10,8,British Grand Prix,2018-07-08 13:10:00,13:10:00
986,2018,11,9,German Grand Prix,2018-07-22 13:10:00,13:10:00
987,2018,12,10,Hungarian Grand Prix,2018-07-29 13:10:00,13:10:00
988,2018,13,12,Belgian Grand Prix,2018-08-26 13:10:00,13:10:00
989,2018,14,13,Italian Grand Prix,2018-09-02 13:10:00,13:10:00
990,2018,15,14,Singapore Grand Prix,2018-09-16 12:10:00,12:10:00
991,2018,16,70,Russian Grand Prix,2018-09-30 11:10:00,11:10:00
992,2018,17,21,Japanese Grand Prix,2018-10-07 05:10:00,05:10:00
993,2018,18,68,United States Grand Prix,2018-10-21 18:10:00,18:10:00
994,2018,19,31,Mexican Grand Prix,2018-10-28 19:10:00,19:10:00
995,2018,20,17,Brazilian Grand Prix,2018-11-11 17:10:00,17:10:00
996,2018,21,23,Abu Dhabi Grand Prix,2018-11-25 13:10:00,13:10:00
997,2019,1,0,Australian Grand Prix,2019-03-17 05:10:00,05:10:00
998,2019,2,2,Bahrain Grand Prix,2019-03-31 15:10:00,15:10:00
999,2019,3,16,Chinese Grand Prix,2019-04-14 06:10:00,06:10:00
1000,2019,4,71,Azerbaijan Grand Prix,2019-04-28 12:10:00,12:10:00
1001,2019,5,3,Spanish Grand Prix,2019-05-12 13:10:00,13:10:00
1002,2019,6,5,Monaco Grand Prix,2019-05-26 13:10:00,13:10:00
1003,2019,7,6,Canadian Grand Prix,2019-06-09 18:10:00,18:10:00
1004,2019,8,33,French Grand Prix,2019-06-23 13:10:00,13:10:00
1005,2019,9,69,Austrian Grand Prix,2019-06-30 13:10:00,13:10:00
1006,2019,10,8,British Grand Prix,2019-07-14 13:10:00,13:10:00
1007,2019,11,9,German Grand Prix,2019-07-28 13:10:00,13:10:00
1008,2019,12,10,Hungarian Grand Prix,2019-08-04 13:10:00,13:10:00
1009,2019,13,12,Belgian Grand Prix,2019-09-01 13:10:00,13:10:00
1010,2019,14,13,Italian Grand Prix,2019-09-08 13:10:00,13:10:00
1011,2019,15,14,Singapore Grand Prix,2019-09-22 12:10:00,12:10:00
1012,2019,16,70,Russian Grand Prix,2019-09-29 11:10:00,11:10:00
1013,2019,17,21,Japanese Grand Prix,2019-10-13 05:10:00,05:10:00
1014,2019,18,31,Mexican Grand Prix,2019-10-27 19:10:00,19:10:00
1015,2019,19,68,United States Grand Prix,2019-11-03 19:10:00,19:10:00
1016,2019,20,17,Brazilian Grand Prix,2019-11-17 17:10:00,17:10:00
1017,2019,21,23,Abu Dhabi Grand Prix,2019-12-01 13:10:00,13:10:00
1018,2020,1,69,Austrian Grand Prix,2020-07-05 13:10:00,13:10:00
1019,2020,2,69,Styrian Grand Prix,2020-07-12 13:10:00,13:10:00
1020,2020,3,10,Hungarian Grand Prix,2020-07-19 13:10:00,13:10:00
1021,2020,4,8,British Grand Prix,2020-08-02 13:10:00,13:10:00
1022,2020,5,8,70th Anniversary Grand Prix,2020-08-09 13:10:00,13:10:00
1023,2020,6,3,Spanish Grand Prix,2020-08-16 13:10:00,13:10:00
1024,2020,7,12,Belgian Grand Prix,2020-08-30 13:10:00,13:10:00
1025,2020,8,13,Italian Grand Prix,2020-09-06 13:10:00,13:10:00
1026,2020,9,73,Tuscan Grand Prix,2020-09-13 13:10:00,13:10:00
1027,2020,10,70,Russian Grand Prix,2020-09-27 11:10:00,11:10:00
1028,2020,11,19,Eifel Grand Prix,2020-10-11 13:10:00,13:10:00
1029,2020,12,72,Portuguese Grand Prix,2020-10-25 12:10:00,12:10:00
1030,2020,13,20,Emilia Romagna Grand Prix,2020-11-01 12:10:00,12:10:00
1031,2020,14,4,Turkish Grand Prix,2020-11-15 10:10:00,10:10:00
1032,2020,15,2,Bahrain Grand Prix,2020-11-29 14:10:00,14:10:00
1033,2020,16,2,Sakhir Grand Prix,2020-12-06 17:10:00,17:10:00
1034,2020,17,23,Abu Dhabi Grand Prix,2020-12-13 13:10:00,13:10:00
1035,2021,1,2,Bahrain Grand Prix,2021-03-28 15:00:00,15:00:00
1036,2021,2,20,Emilia Romagna Grand Prix,2021-04-18 13:00:00,13:00:00
1037,2021,3,72,Portuguese Grand Prix,2021-05-02 14:00:00,14:00:00
1038,2021,4,3,Spanish Grand Prix,2021-05-09 13:00:00,13:00:00
1039,2021,5,5,Monaco Grand Prix,2021-05-23 13:00:00,13:00:00
1040,2021,6,71,Azerbaijan Grand Prix,2021-06-06 12:00:00,12:00:00
1041,2021,7,33,French Grand Prix,2021-06-20 13:00:00,13:00:00
1042,2021,8,69,Styrian Grand Prix,2021-06-27 13:00:00,13:00:00
1043,2021,9,69,Austrian Grand Prix,2021-07-04 13:00:00,13:00:00
1044,2021,10,8,British Grand Prix,2021-07-18 14:00:00,14:00:00
1045,2021,11,10,Hungarian Grand Prix,2021-08-01 13:00:00,13:00:00
1046,2021,12,12,Belgian Grand Prix,2021-08-29 13:00:00,13:00:00
1047,2021,13,38,Dutch Grand Prix,2021-09-05 13:00:00,13:00:00
1048,2021,14,13,Italian Grand Prix,2021-09-12 13:00:00,13:00:00
1049,2021,15,70,Russian Grand Prix,2021-09-26 12:00:00,12:00:00
1050,2021,16,4,Turkish Grand Prix,2021-10-10 12:00:00,12:00:00
1051,2021,17,68,United States Grand Prix,2021-10-24 19:00:00,19:00:00
1052,2021,18,31,Mexico City Grand Prix,2021-11-07 19:00:00,19:00:00
1053,2021,19,17,São Paulo Grand Prix,2021-11-14 17:00:00,17:00:00
1054,2021,20,75,Qatar Grand Prix,2021-11-21 14:00:00,14:00:00
1055,2021,21,74,Saudi Arabian Grand Prix,2021-12-05 17:30:00,17:30:00
1056,2021,22,23,Abu Dhabi Grand Prix,2021-12-12 13:00:00,13:00:00
1057,2022,1,2,Bahrain Grand Prix,2022-03-20 15:00:00,15:00:00
1058,2022,2,74,Saudi Arabian Grand Prix,2022-03-27 17:00:00,17:00:00
1059,2022,3,0,Australian Grand Prix,2022-04-10 05:00:00,05:00:00
1060,2022,4,20,Emilia Romagna Grand Prix,2022-04-24 13:00:00,13:00:00
1061,2022,5,76,Miami Grand Prix,2022-05-08 19:30:00,19:30:00
1062,2022,6,3,Spanish Grand Prix,2022-05-22 13:00:00,13:00:00
1063,2022,7,5,Monaco Grand Prix,2022-05-29 13:00:00,13:00:00
1064,2022,8,71,Azerbaijan Grand Prix,2022-06-12 11:00:00,11:00:00
1065,2022,9,6,Canadian Grand Prix,2022-06-19 18:00:00,18:00:00
1066,2022,10,8,British Grand Prix,2022-07-03 14:00:00,14:00:00
1067,2022,11,69,Austrian Grand Prix,2022-07-10 13:00:00,13:00:00
1068,2022,12,33,French Grand Prix,2022-07-24 13:00:00,13:00:00
1069,2022,13,10,Hungarian Grand Prix,2022-07-31 13:00:00,13:00:00
1070,2022,14,12,Belgian Grand Prix,2022-08-28 13:00:00,13:00:00
1071,2022,15,38,Dutch Grand Prix,2022-09-04 13:00:00,13:00:00
1072,2022,16,13,Italian Grand Prix,2022-09-11 13:00:00,13:00:00
1073,2022,17,14,Singapore Grand Prix,2022-10-02 12:00:00,12:00:00
1074,2022,18,21,Japanese Grand Prix,2022-10-09 05:00:00,05:00:00
1075,2022,19,68,United States Grand Prix,2022-10-23 19:00:00,19:00:00
1076,2022,20,31,Mexico City Grand Prix,2022-10-30 20:00:00,20:00:00
1077,2022,21,17,Brazilian Grand Prix,2022-11-13 18:00:00,18:00:00
1078,2022,22,23,Abu Dhabi Grand Prix,2022-11-20 13:00:00,13:00:00
1079,2023,1,2,Bahrain Grand Prix,2023-03-05 15:00:00,15:00:00
1080,2023,2,74,Saudi Arabian Grand Prix,2023-03-19 17:00:00,17:00:00
1081,2023,3,0,Australian Grand Prix,2023-04-02 05:00:00,05:00:00
1082,2023,4,71,Azerbaijan Grand Prix,2023-04-30 11:00:00,11:00:00
1083,2023,5,76,Miami Grand Prix,2023-05-07 19:30:00,19:30:00
1084,2023,6,5,Monaco Grand Prix,2023-05-28 13:00:00,13:00:00
1085,2023,7,3,Spanish Grand Prix,2023-06-04 13:00:00,13:00:00
1086,2023,8,6,Canadian Grand Prix,2023-06-18 18:00:00,18:00:00
1087,2023,9,69,Austrian Grand Prix,2023-07-02 13:00:00,13:00:00
1088,2023,10,8,British Grand Prix,2023-07-09 14:00:00,14:00:00
1089,2023,11,10,Hungarian Grand Prix,2023-07-23 13:00:00,13:00:00
1090,2023,12,12,Belgian Grand Prix,2023-07-30 13:00:00,13:00:00
1091,2023,13,38,Dutch Grand Prix,2023-08-27 13:00:00,13:00:00
1092,2023,14,13,Italian Grand Prix,2023-09-03 13:00:00,13:00:00
1093,2023,15,14,Singapore Grand Prix,2023-09-17 12:00:00,12:00:00
1094,2023,16,21,Japanese Grand Prix,2023-09-24 05:00:00,05:00:00
1095,2023,17,75,Qatar Grand Prix,2023-10-08 14:00:00,14:00:00
1096,2023,18,68,United States Grand Prix,2023-10-22 19:00:00,19:00:00
1097,2023,19,31,Mexico City Grand Prix,2023-10-29 20:00:00,20:00:00
1098,2023,20,17,São Paulo Grand Prix,2023-11-05 17:00:00,17:00:00
1099,2023,21,22,Las Vegas Grand Prix,2023-11-19 06:00:00,06:00:00
1100,2023,22,23,Abu Dhabi Grand Prix,2023-11-26 13:00:00,13:00:00
